county,week,week number,Examination Gloves,Viral Testing Media,Swabs,Other / None of the above,Cleaning Supplies,Surgical or Examination Gowns,Wipes,Shoe Covers,Surgical Masks,Face Shields (Disposable),Hand Sanitizers,Pharmaceuticals,Cloth Masks,Lab Supplies,Coveralls (Hospitals or EMS),Medical Equipment,N-95 Respirators,KN95 Respirators,Test Kits,Sample Collecting Kits,Goggles,Lab Kit,Body Bags,Personnel,Beds/Cots,Ventilators,Lab Platform,Fit Testing Supplies,Bedding Accessories
['Madera'],2021-02-27 to 2021-03-05,1,[1113000.0],[210812.0],[385000.0],[597212.0],[0.0],[427000.0],[184800.0],[140000.0],[4376400.0],[640836.0],[812532.0],[581.0],[1316000.0],[0.0],[0.0],[35812.0],[3456600.0],[97860.0],[405440.0],[84000.0],[7350.0],[0.0],[0.0],[497.0],[0.0],[161.0],[0.0],[14.0],[0.0]
['Yuba'],2021-02-27 to 2021-03-05,1,[9233000.0],[80220.0],[224014.0],[145194.0],[0.0],[612556.0],[0.0],[0.0],[5236000.0],[74200.0],[243138.0],[602.0],[496104.0],[0.0],[476.0],[140728.0],[381360.0],[0.0],[134400.0],[35000.0],[0.0],[0.0],[0.0],[602.0],[252.0],[28.0],[0.0],[0.0],[210.0]
['Santa Clara'],2021-02-27 to 2021-03-05,1,[57292200.0],[4494966.0],[4540200.0],[2375163.0],[168000.0],[3646030.0],[1985440.0],[1757000.0],[66561250.0],[13809628.0],[1581827.0],[96243.0],[10378340.0],[70000.0],[446264.0],[1736420.0],[56773687.0],[84560.0],[3447120.0],[2940000.0],[33400.0],[0.0],[0.0],[706.0],[0.0],[0.0],[0.0],[399.0],[0.0]
['Humboldt'],2021-02-27 to 2021-03-05,1,[10691960.0],[621292.0],[764400.0],[792631.0],[0.0],[1152650.0],[92640.0],[5250.0],[14136200.0],[310786.0],[276892.0],[0.0],[708533.0],[0.0],[0.0],[177528.0],[1937360.0],[134960.0],[326480.0],[441700.0],[13300.0],[0.0],[0.0],[0.0],[1456.0],[35.0],[0.0],[28.0],[0.0]
['San Diego'],2021-02-27 to 2021-03-05,1,[137551736.0],[1899520.0],[3136000.0],[2090935.0],[177282.0],[27648628.0],[5363288.0],[700000.0],[128867200.0],[5416656.0],[3399067.0],[49266.0],[14536256.0],[141400.0],[77364.0],[1492862.0],[20599132.0],[35280.0],[3412640.0],[470400.0],[823200.0],[0.0],[10570.0],[3507.0],[504.0],[1260.0],[0.0],[371.0],[0.0]
['San Benito'],2021-02-27 to 2021-03-05,1,[3335000.0],[269276.0],[630000.0],[3962.0],[0.0],[897820.0],[4861920.0],[14000.0],[2446500.0],[47600.0],[27440.0],[56.0],[222180.0],[7000.0],[1925.0],[48300.0],[1864070.0],[98280.0],[106400.0],[89600.0],[0.0],[0.0],[1820.0],[70.0],[0.0],[70.0],[0.0],[14.0],[0.0]
['Kings'],2021-02-27 to 2021-03-05,1,[3226720.0],[172480.0],[204421.0],[329924.0],[0.0],[706174.0],[161840.0],[7000.0],[5478200.0],[234192.0],[567798.0],[5012.0],[2703120.0],[0.0],[0.0],[70.0],[4675720.0],[87640.0],[135520.0],[179200.0],[385.0],[0.0],[0.0],[210.0],[0.0],[42.0],[0.0],[0.0],[0.0]
['Mariposa'],2021-02-27 to 2021-03-05,1,[1064000.0],[33712.0],[49000.0],[14700.0],[0.0],[11592.0],[29400.0],[7000.0],[952700.0],[29540.0],[97412.0],[100800.0],[67200.0],[0.0],[0.0],[0.0],[171360.0],[0.0],[76160.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Riverside'],2021-02-27 to 2021-03-05,1,[78165180.0],[1019298.0],[756000.0],[274731.0],[1680.0],[8267700.0],[1328160.0],[10500.0],[117271100.0],[2162616.0],[2830869.0],[42322.0],[10111500.0],[2443000.0],[56350.0],[224924.0],[20058247.0],[977200.0],[1172780.0],[735000.0],[191200.0],[0.0],[14000.0],[4700.0],[1281.0],[2260.0],[0.0],[147.0],[0.0]
['San Luis Obispo'],2021-02-27 to 2021-03-05,1,[7890400.0],[29400.0],[189021.0],[12019.0],[0.0],[193270.0],[924840.0],[182000.0],[10854200.0],[353360.0],[317128.0],[574.0],[1543500.0],[36400.0],[3150.0],[120834.0],[2898420.0],[175280.0],[224000.0],[0.0],[46900.0],[0.0],[0.0],[21.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Modoc'],2021-02-27 to 2021-03-05,1,[406000.0],[53998.0],[71400.0],[143108.0],[0.0],[91700.0],[13440.0],[0.0],[1401400.0],[37100.0],[30128.0],[252.0],[68313.0],[0.0],[0.0],[19600.0],[122920.0],[8820.0],[62720.0],[1750.0],[0.0],[0.0],[0.0],[63.0],[0.0],[14.0],[0.0],[0.0],[0.0]
['Calaveras'],2021-02-27 to 2021-03-05,1,[634200.0],[56000.0],[77007.0],[106400.0],[0.0],[99050.0],[200200.0],[0.0],[280000.0],[56910.0],[55076.0],[70.0],[213493.0],[35000.0],[0.0],[700.0],[277144.0],[36680.0],[44800.0],[33950.0],[4900.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Monterey'],2021-02-27 to 2021-03-05,1,[26240000.0],[767053.0],[1001000.0],[199353.0],[0.0],[1942990.0],[5403580.0],[102200.0],[24358936.0],[913080.0],[1254939.0],[2345.0],[1850296.0],[0.0],[58513.0],[29281.0],[12552540.0],[690060.0],[590520.0],[238000.0],[88200.0],[0.0],[700.0],[273.0],[0.0],[0.0],[0.0],[364.0],[0.0]
['Tuolumne'],2021-02-27 to 2021-03-05,1,[3570000.0],[42000.0],[154000.0],[28.0],[0.0],[339360.0],[20160.0],[0.0],[13595400.0],[209160.0],[99085.0],[2212.0],[191919.0],[0.0],[350.0],[7014.0],[1323784.0],[114660.0],[109830.0],[28000.0],[3500.0],[0.0],[0.0],[119.0],[0.0],[0.0],[0.0],[0.0],[0.0]
