county,week,week number,Examination Gloves,Lab Supplies,Viral Testing Media,Test Kits,Swabs,Surgical or Examination Gowns,Medical Equipment,Wipes,Surgical Masks,Cloth Masks,Shoe Covers,Other / None of the above,Face Shields (Disposable),N-95 Respirators,Hand Sanitizers,Cleaning Supplies,Sample Collecting Kits,Coveralls (Hospitals or EMS),Pharmaceuticals,Goggles,Body Bags,KN95 Respirators,Ventilators,Personnel,Beds/Cots,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Amador'],2020-12-05 to 2020-12-11,1,[924000.0],[0.0],[33712.0],[40901.0],[98007.0],[188300.0],[0.0],[0.0],[1288000.0],[119000.0],[0.0],[10362.0],[103376.0],[1364720.0],[44436.0],[210.0],[7000.0],[7000.0],[0.0],[70000.0],[0.0],[44100.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mariposa'],2020-12-05 to 2020-12-11,1,[987000.0],[0.0],[19712.0],[37120.0],[49000.0],[11592.0],[0.0],[29400.0],[865200.0],[31500.0],[7000.0],[14700.0],[20440.0],[107520.0],[77252.0],[0.0],[0.0],[0.0],[100800.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mendocino'],2020-12-05 to 2020-12-11,1,[2884000.0],[24612.0],[86961.0],[83840.0],[137200.0],[507360.0],[0.0],[0.0],[4403000.0],[541590.0],[0.0],[2550.0],[232400.0],[1289680.0],[142282.0],[140000.0],[58152.0],[0.0],[448.0],[19600.0],[0.0],[14000.0],[0.0],[84.0],[301.0],[0.0],[0.0],[0.0],[0.0]
['Stanislaus'],2020-12-05 to 2020-12-11,1,[23421000.0],[81200.0],[1000972.0],[541680.0],[1127000.0],[8944100.0],[1645.0],[19656.0],[12264000.0],[1564080.0],[126000.0],[26460.0],[402852.0],[10039988.0],[1057665.0],[3612.0],[394800.0],[158228.0],[107450.0],[95200.0],[700.0],[257040.0],[1190.0],[543.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Fresno'],2020-12-05 to 2020-12-11,1,[33808040.0],[0.0],[801500.0],[719260.0],[1052800.0],[1275960.0],[1330.0],[613200.0],[47481000.0],[4118800.0],[241150.0],[458798.0],[1387400.0],[11182080.0],[1454663.0],[0.0],[10500.0],[8960.0],[11543.0],[68600.0],[0.0],[888720.0],[0.0],[563.0],[0.0],[0.0],[0.0],[0.0],[497.0]
['San Francisco'],2020-12-05 to 2020-12-11,1,[34475120.0],[317800.0],[1320360.0],[626640.0],[1835935.0],[400302.0],[1484.0],[494480.0],[38333400.0],[2073680.0],[0.0],[149548.0],[1959620.0],[16387260.0],[541954.0],[6720.0],[79450.0],[18060.0],[6167.0],[85820.0],[0.0],[747880.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Tulare'],2020-12-05 to 2020-12-11,1,[16288720.0],[0.0],[363937.0],[378240.0],[882700.0],[1770054.0],[44898.0],[467320.0],[14876400.0],[938000.0],[99050.0],[155526.0],[1365322.0],[5839162.0],[501214.0],[14.0],[394800.0],[93975.0],[7014.0],[44380.0],[4970.0],[350000.0],[28.0],[399.0],[4200.0],[0.0],[0.0],[0.0],[0.0]
['Monterey'],2020-12-05 to 2020-12-11,1,[17801000.0],[0.0],[767053.0],[424760.0],[1001000.0],[1522640.0],[1799.0],[1705900.0],[21418936.0],[471800.0],[102200.0],[182434.0],[612080.0],[11554340.0],[1143443.0],[0.0],[238000.0],[58513.0],[2345.0],[84000.0],[700.0],[672420.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Bernardino'],2020-12-05 to 2020-12-11,1,[24010000.0],[0.0],[319130.0],[252980.0],[511000.0],[1955394.0],[18550.0],[6720.0],[35445200.0],[4400620.0],[5250.0],[43913.0],[753732.0],[8367898.0],[632408.0],[0.0],[140000.0],[49875.0],[31206.0],[33040.0],[0.0],[235900.0],[420.0],[567.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Lake'],2020-12-05 to 2020-12-11,1,[6054720.0],[0.0],[112700.0],[84840.0],[154700.0],[154602.0],[350.0],[271320.0],[5069400.0],[173040.0],[2800.0],[350.0],[108500.0],[608020.0],[49784.0],[0.0],[0.0],[0.0],[91.0],[14000.0],[0.0],[79380.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Barbara'],2020-12-05 to 2020-12-11,1,[16979120.0],[0.0],[880915.0],[326480.0],[1267000.0],[963702.0],[350.0],[55056.0],[15895600.0],[1719060.0],[0.0],[20349.0],[257600.0],[14159360.0],[963200.0],[0.0],[336000.0],[29134.0],[5089.0],[95200.0],[0.0],[327880.0],[0.0],[203.0],[168.0],[0.0],[0.0],[0.0],[72.0]
['San Benito'],2020-12-05 to 2020-12-11,1,[903000.0],[7000.0],[188252.0],[45920.0],[460000.0],[466270.0],[0.0],[585200.0],[1953000.0],[31500.0],[14000.0],[3822.0],[15400.0],[1585430.0],[8960.0],[0.0],[89600.0],[875.0],[56.0],[0.0],[0.0],[56280.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Glenn'],2020-12-05 to 2020-12-11,1,[770000.0],[0.0],[23856.0],[14840.0],[91000.0],[19950.0],[0.0],[0.0],[1248800.0],[38500.0],[0.0],[0.0],[3500.0],[1736280.0],[7252.0],[0.0],[1750.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Nevada'],2020-12-05 to 2020-12-11,1,[2000600.0],[0.0],[83139.0],[44240.0],[120400.0],[151984.0],[13300.0],[12600.0],[508200.0],[35000.0],[0.0],[22988.0],[19600.0],[939400.0],[26390.0],[0.0],[4550.0],[2800.0],[301.0],[3500.0],[0.0],[95200.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Diego'],2020-12-05 to 2020-12-11,1,[93647736.0],[141400.0],[1182720.0],[455200.0],[2205000.0],[27297228.0],[4550.0],[4805048.0],[110104400.0],[6121500.0],[700000.0],[1731883.0],[3849956.0],[18277910.0],[2743587.0],[177282.0],[470400.0],[77364.0],[49266.0],[817600.0],[9870.0],[35280.0],[210.0],[613.0],[0.0],[0.0],[0.0],[0.0],[0.0]
