county,week,week number,Other / None of the above,Coveralls (Hospitals or EMS),Examination Gloves,Surgical Masks,Surgical or Examination Gowns,Hand Sanitizers,Wipes,Goggles,Face Shields (Disposable),N-95 Respirators,Swabs,Pharmaceuticals,Viral Testing Media,Test Kits,Shoe Covers,Body Bags,Personnel,Cloth Masks,Sample Collecting Kits,Cleaning Supplies,Beds/Cots,KN95 Respirators,Medical Equipment,Lab Supplies,Ventilators,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Mono'],2020-11-28 to 2020-12-04,26,[70700.0],[378.0],[1325500.0],[900200.0],[65058.0],[75334.0],[36200.0],[10500.0],[30676.0],[318220.0],[135007.0],[0.0],[36650.0],[67280.0],[33250.0],[0.0],[0.0],[38500.0],[0.0],[84.0],[0.0],[42280.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Diego'],2020-11-28 to 2020-12-04,26,[1727383.0],[77364.0],[93647736.0],[110104400.0],[27297228.0],[2743587.0],[4802168.0],[817600.0],[3849356.0],[18067670.0],[2205000.0],[49266.0],[1182720.0],[352800.0],[700000.0],[9870.0],[558.0],[6121500.0],[470400.0],[177282.0],[0.0],[35280.0],[4550.0],[141400.0],[210.0],[0.0],[0.0],[0.0],[0.0]
['San Luis Obispo'],2020-11-28 to 2020-12-04,26,[12019.0],[3150.0],[6798400.0],[9247000.0],[114520.0],[262388.0],[44520.0],[39200.0],[239960.0],[2800980.0],[119021.0],[574.0],[29400.0],[0.0],[182000.0],[0.0],[7.0],[960120.0],[0.0],[0.0],[0.0],[148820.0],[1750.0],[36400.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Sonoma'],2020-11-28 to 2020-12-04,26,[1148056.0],[106330.0],[5867400.0],[14379400.0],[738220.0],[261618.0],[250656.0],[76300.0],[576800.0],[6013420.0],[1393000.0],[945.0],[1142519.0],[284480.0],[0.0],[0.0],[217.0],[2231740.0],[890400.0],[0.0],[0.0],[222180.0],[28.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['San Benito'],2020-11-28 to 2020-12-04,26,[3822.0],[875.0],[903000.0],[1953000.0],[466270.0],[8960.0],[585200.0],[0.0],[15400.0],[1585430.0],[430000.0],[56.0],[164252.0],[45920.0],[14000.0],[0.0],[0.0],[31500.0],[89600.0],[0.0],[0.0],[56280.0],[0.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Shasta'],2020-11-28 to 2020-12-04,26,[35546.0],[0.0],[847000.0],[4059300.0],[141554.0],[129990.0],[6720.0],[9100.0],[57232.0],[450044.0],[233100.0],[231.0],[178416.0],[303360.0],[0.0],[0.0],[98.0],[331660.0],[114800.0],[0.0],[0.0],[0.0],[392.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Fresno'],2020-11-28 to 2020-12-04,26,[455805.0],[8960.0],[33772040.0],[47475000.0],[1269660.0],[1454483.0],[613200.0],[68000.0],[1385600.0],[11179200.0],[1052800.0],[11543.0],[801500.0],[678300.0],[241150.0],[0.0],[491.0],[4118800.0],[10500.0],[0.0],[0.0],[888720.0],[1330.0],[0.0],[0.0],[0.0],[0.0],[0.0],[392.0]
['Riverside'],2020-11-28 to 2020-12-04,26,[273252.0],[56350.0],[29965180.0],[92653400.0],[1260000.0],[1818941.0],[1184880.0],[182000.0],[694016.0],[19803840.0],[756000.0],[38122.0],[1019298.0],[1051820.0],[10500.0],[3500.0],[226.0],[2971920.0],[735000.0],[1680.0],[0.0],[964600.0],[19040.0],[2443000.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Yuba'],2020-11-28 to 2020-12-04,26,[144844.0],[476.0],[9051000.0],[4732000.0],[437556.0],[214438.0],[0.0],[0.0],[25200.0],[310240.0],[210014.0],[602.0],[74172.0],[89600.0],[0.0],[0.0],[4.0],[241500.0],[35000.0],[0.0],[0.0],[0.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Del Norte'],2020-11-28 to 2020-12-04,26,[211204.0],[10500.0],[7309400.0],[9808400.0],[343952.0],[172060.0],[840672.0],[8400.0],[72100.0],[1456210.0],[358400.0],[0.0],[355005.0],[88235.0],[28000.0],[0.0],[18.0],[339220.0],[322350.0],[42.0],[0.0],[190820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Plumas'],2020-11-28 to 2020-12-04,26,[14938.0],[2814.0],[280000.0],[575400.0],[18200.0],[16156.0],[37800.0],[5600.0],[21112.0],[88200.0],[70000.0],[2.0],[19600.0],[4480.0],[0.0],[0.0],[0.0],[80500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[168.0],[0.0],[0.0],[0.0],[84.0]
['Sierra'],2020-11-28 to 2020-12-04,26,[7000.0],[0.0],[109060.0],[46900.0],[12040.0],[12754.0],[33600.0],[0.0],[700.0],[18480.0],[10500.0],[0.0],[5600.0],[4480.0],[0.0],[0.0],[0.0],[10500.0],[5600.0],[0.0],[0.0],[0.0],[7000.0],[10500.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Marin'],2020-11-28 to 2020-12-04,26,[494186.0],[151396.0],[7147000.0],[4967200.0],[1411340.0],[143458.0],[1064000.0],[0.0],[1074528.0],[4212740.0],[336000.0],[1064.0],[214648.0],[179120.0],[140000.0],[0.0],[133.0],[293020.0],[155050.0],[0.0],[0.0],[31640.0],[700.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Colusa'],2020-11-28 to 2020-12-04,26,[70007.0],[0.0],[9639000.0],[9380000.0],[9142.0],[137403.0],[0.0],[11200.0],[83048.0],[483980.0],[35000.0],[0.0],[36624.0],[30380.0],[0.0],[0.0],[14.0],[262500.0],[350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Tulare'],2020-11-28 to 2020-12-04,26,[155556.0],[93975.0],[9148720.0],[14876400.0],[1694154.0],[501214.0],[467320.0],[44380.0],[1365322.0],[5839162.0],[882700.0],[7014.0],[363937.0],[295680.0],[99050.0],[4970.0],[399.0],[938000.0],[394800.0],[14.0],[4200.0],[350000.0],[44838.0],[0.0],[28.0],[0.0],[0.0],[0.0],[0.0]
['Sutter'],2020-11-28 to 2020-12-04,26,[68264.0],[0.0],[593000.0],[842200.0],[71890.0],[10969.0],[8400.0],[700.0],[39200.0],[903280.0],[68600.0],[10.0],[47824.0],[92560.0],[0.0],[0.0],[0.0],[3500.0],[33600.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Barbara'],2020-11-28 to 2020-12-04,26,[20349.0],[29134.0],[15890120.0],[15775600.0],[963102.0],[963200.0],[47376.0],[95200.0],[257600.0],[14157920.0],[1267000.0],[5089.0],[880915.0],[307280.0],[0.0],[0.0],[203.0],[1719060.0],[336000.0],[0.0],[168.0],[327880.0],[350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
